1991-407,13,,Rotterdam,407,rotterdam,Rotterdam,1991.02.25,1991,Indoor,Carpet
1991-411,14,,Chicago,411,chicago,Chicago,1991.02.25,1991,Indoor,Carpet
1991-404,15,Masters 1000,ATP Masters 1000 Indian Wells,404,indian-wells,Indian Wells,1991.03.04,1991,Outdoor,Hard
1991-481,16,,Copenhagen,481,copenhagen,Copenhagen,1991.03.04,1991,Indoor,Carpet
1991-403,17,Masters 1000,ATP Masters 1000 Miami,403,miami,Miami,1991.03.15,1991,Outdoor,Hard
1991-468,18,,Estoril,468,estoril,Estoril,1991.04.01,1991,Outdoor,Clay
1991-336,19,,Hong Kong,336,hong-kong,Hong Kong,1991.04.01,1991,Outdoor,Hard
1991-409,20,,Orlando,409,orlando,Orlando,1991.04.01,1991,Outdoor,Hard
1991-329,21,,Tokyo Outdoor,329,tokyo,Tokyo,1991.04.08,1991,Outdoor,Hard
1991-425,22,,Barcelona,425,barcelona,Barcelona,1991.04.08,1991,Outdoor,Clay
1991-6120,23,,Nice,6120,nice,Nice,1991.04.15,1991,Outdoor,Clay
1991-434,24,,Seoul,434,seoul,Seoul,1991.04.15,1991,Outdoor,Hard
1991-410,25,Masters 1000,ATP Masters 1000 Monte Carlo,410,monte-carlo,Monte Carlo,1991.04.22,1991,Outdoor,Clay
1991-456,26,,Singapore,456,singapore,Singapore,1991.04.22,1991,Outdoor,Hard
1991-309,27,,Madrid,309,madrid,Madrid,1991.04.29,1991,Outdoor,Clay
1991-308,28,,Munich,308,munich,Munich,1991.04.29,1991,Outdoor,Clay
1991-346,29,,Tampa,346,tampa,Tampa,1991.04.29,1991,Outdoor,Clay
1991-414,30,Masters 1000,ATP Masters 1000 Hamburg,414,hamburg,Hamburg,1991.05.06,1991,Outdoor,Clay
1991-717,31,,Charlotte,717,charlotte,Charlotte,1991.05.06,1991,Outdoor,Clay
1991-416,32,Masters 1000,ATP Masters 1000 Rome,416,rome,Rome,1991.05.13,1991,Outdoor,Clay
1991-439,33,,Umag,439,umag,Umag,1991.05.13,1991,Outdoor,Clay
1991-615,34,,World Team Cup,615,dusseldorf,Dusseldorf,1991.05.20,1991,Outdoor,Clay
1991-312,35,,Bologna,312,bologna,Bologna,1991.05.20,1991,Outdoor,Clay
1991-520,36,Grand Slam,Roland Garros,520,roland-garros,Paris,1991.05.27,1991,Outdoor,Clay
1991-311,37,,London / Queen's Club,311,london,London,1991.06.10,1991,Outdoor,Grass
1991-310,38,,Florence,310,florence,Florence,1991.06.10,1991,Outdoor,Clay
1991-440,39,,Rosmalen,440,rosmalen,Rosmalen,1991.06.10,1991,Outdoor,Grass
1991-306,40,,Genova,306,genova,Genova,1991.06.17,1991,Outdoor,Clay
1991-7310,41,,Manchester,7310,manchester,Manchester,1991.06.17,1991,Outdoor,Grass
1991-540,42,Grand Slam,Wimbledon,540,wimbledon,London,1991.06.24,1991,Outdoor,Grass
1991-314,43,,Gstaad,314,gstaad,Gstaad,1991.07.08,1991,Outdoor,Clay
1991-316,44,,Bastad,316,bastad,Bastad,1991.07.08,1991,Outdoor,Clay
1991-315,45,,Newport,315,newport,Newport,1991.07.08,1991,Outdoor,Grass
1991-321,46,,Stuttgart Outdoor,321,stuttgart,Stuttgart,1991.07.15,1991,Outdoor,Clay
1991-418,47,,Washington,418,washington,Washington,1991.07.15,1991,Outdoor,Hard
1991-421,48,Masters 1000,ATP Masters 1000 Canada,421,montreal,Montreal,1991.07.22,1991,Outdoor,Hard
1991-317,49,,Hilversum,317,hilversum,Hilversum,1991.07.22,1991,Outdoor,Clay
1991-319,50,,Kitzbuhel,319,kitzbuhel,Kitzbuhel,1991.07.29,1991,Outdoor,Clay
1991-423,51,,Los Angeles,423,los-angeles,Los Angeles,1991.07.29,1991,Outdoor,Hard
1991-475,52,,San Marino,475,san-marino,San Marino,1991.07.29,1991,Outdoor,Clay
1991-422,53,Masters 1000,ATP Masters 1000 Cincinnati,422,cincinnati,Cincinnati,1991.08.05,1991,Outdoor,Hard
1991-379,54,,Prague,379,prague,Prague,1991.08.05,1991,Outdoor,Clay
1991-419,55,,Indianapolis,419,indianapolis,Indianapolis,1991.08.12,1991,Outdoor,Hard
