slug,player_id,height_cm,weight_kg,service_return_games_ratio,service_return_points_ratio,group
sm25,jack-sock,191,88,4.315789473684211,1.8571428571428574,1
r613,edouard-roger-vasselin,185,78,3.85,1.7222222222222223,0
d874,federico-delbonis,193,90,3.666666666666667,1.6756756756756757,0
r186,guillaume-raoux,180,77,3.9,1.75,0
sl28,jan-lennard-struff,193,92,4.2631578947368425,1.8571428571428574,1
h442,jan-hernych,188,83,3.1304347826086953,1.5526315789473684,0
d646,ivan-dodig,183,81,3.7142857142857144,1.7027027027027026,0
sm37,diego-schwartzman,170,64,2.3548387096774195,1.4285714285714286,0
s843,potito-starace,188,84,3.619047619047619,1.7222222222222223,0
w123,david-wheaton,193,84,3.4347826086956523,1.6578947368421053,0
bh09,aljaz-bedene,183,73,3.9,1.75,0
p273,david-prinosil,185,82,3.409090909090909,1.6486486486486487,0
be90,ricardas-berankis,175,77,4.052631578947368,1.7222222222222223,0
v141,daniel-vacek,191,81,4.333333333333334,1.8,1
v195,fernando-vicente,180,76,2.692307692307692,1.5128205128205128,0
d362,taylor-dent,188,88,3.6363636363636367,1.7297297297297298,0
f035,guy-forget,191,80,4.199999999999999,1.8611111111111114,1
l018,ivan-lendl,188,79,2.928571428571428,1.65,0
pd07,vasek-pospisil,193,88,5.533333333333333,1.9696969696969697,1
s480,davide-sanguinetti,188,79,3.1739130434782608,1.5789473684210527,0
b884,carlos-berlocq,183,81,2.84,1.5384615384615383,0
g676,daniel-gimeno-traver,183,80,3.8947368421052633,1.6944444444444444,0
e140,nicolas-escude,185,70,3.12,1.6153846153846154,0
h996,pierre-hugues-herbert,188,75,5.125,1.9393939393939394,1
k540,lukasz-kubot,191,88,3.3636363636363638,1.6486486486486487,0
p045,gianluca-pozzi,180,80,3.1304347826086953,1.5789473684210527,0
mm58,daniil-medvedev,198,83,3.24,1.7105263157894737,0
kb09,denis-kudla,180,79,3.9473684210526314,1.7428571428571429,0
d632,steve-darcis,175,78,3.8,1.7222222222222223,0
l797,lukas-lacko,188,87,4.470588235294118,1.8235294117647058,1
d214,martin-damm,188,88,4.388888888888889,1.8285714285714287,1
h025,jakob-hlasek,188,78,3.5909090909090913,1.7297297297297298,0
s545,sargis-sargsian,180,75,3.2173913043478257,1.6052631578947367,0
bc72,daniel-brands,196,92,6.833333333333333,2.03125,1
pf39,lucas-pouille,185,84,4.2631578947368425,1.8285714285714287,1
c031,andrei-chesnokov,188,76,2.225806451612903,1.4146341463414633,0
k839,tobias-kamke,178,76,2.9583333333333335,1.5526315789473684,0
s321,brett-steven,185,77,3.2083333333333335,1.5897435897435896,0
bc65,matthias-bachinger,188,86,4.222222222222222,1.7714285714285716,1
r548,rajeev-ram,193,84,5.2666666666666675,1.909090909090909,1
g252,marc-kevin-goellner,196,81,4.2105263157894735,1.8285714285714287,1
p305,albert-portas,188,78,2.8,1.5128205128205128,0
d923,damir-dzumhur,175,68,2.6296296296296293,1.5384615384615383,0
cg80,borna-coric,188,85,4.05,1.8055555555555556,0
ke17,nick-kyrgios,193,85,5.5,2.090909090909091,1
s568,franco-squillari,183,80,2.6666666666666665,1.4749999999999999,0
r368,michael-russell,173,70,3.1818181818181817,1.5945945945945945,0
e690,matthew-ebden,188,80,3.8421052631578947,1.7428571428571429,0
sc56,dudi-sela,175,65,3.0,1.5789473684210527,0
be54,ruben-bemelmans,183,75,4.875,1.852941176470588,1
s014,emilio-sanchez,180,74,3.166666666666667,1.631578947368421,0
ba65,dustin-brown,196,78,5.0625,1.9393939393939394,1
g436,marc-gicquel,188,75,3.9,1.75,0
g319,jerome-golmard,188,77,3.7142857142857144,1.7027027027027026,0
a203,karim-alami,185,85,3.2173913043478257,1.6052631578947367,0
c216,tomas-carbonell,178,72,2.266666666666667,1.4146341463414633,0
k023,aaron-krickstein,183,73,2.6785714285714284,1.525,0
bg23,nikoloz-basilashvili,185,79,3.3636363636363638,1.6216216216216215,0
l503,paolo-lorenzi,183,78,3.6999999999999997,1.6944444444444444,0
ca99,marius-copil,193,87,6.3076923076923075,2.03125,1
r336,christophe-rochus,170,68,2.7500000000000004,1.4999999999999998,0
pc11,guido-pella,183,79,3.7142857142857144,1.7027027027027026,0
me89,illya-marchenko,185,82,3.5714285714285716,1.6944444444444444,0
g967,peter-gojowczyk,188,83,4.105263157894737,1.75,0
s403,jonathan-stark,188,84,4.555555555555555,1.8055555555555556,1
b842,alex-bogomolov-jr.,178,75,3.1304347826086953,1.5789473684210527,0
te51,stefanos-tsitsipas,193,89,4.473684210526316,1.9142857142857146,1
d499,frank-dancevic,185,79,5.2666666666666675,1.9393939393939394,1
f165,marcelo-filippini,178,66,2.592592592592592,1.4749999999999999,0
k190,bernd-karbacher,185,73,3.0416666666666665,1.5789473684210527,0
kb54,andrey-kuznetsov,185,71,3.619047619047619,1.6756756756756757,0
a829,radu-albot,175,69,3.2727272727272725,1.6216216216216215,0
se73,yuichi-sugita,175,72,3.9473684210526314,1.6944444444444444,0
p436,bjorn-phau,175,70,3.1818181818181817,1.5945945945945945,0
me05,marinko-matosevic,193,86,3.4761904761904763,1.6216216216216215,0
ke29,karen-khachanov,198,87,3.9047619047619047,1.8055555555555556,0
v166,adrian-voinea,185,73,3.1739130434782608,1.6052631578947367,0
k760,evgeny-korolev,185,82,3.3636363636363638,1.6486486486486487,0
g806,andrey-golubev,183,79,3.8947368421052633,1.7428571428571429,0
g016,brad-gilbert,185,79,2.814814814814815,1.5499999999999998,0
v708,jiri-vesely,198,94,4.2105263157894735,1.8285714285714287,1
c582,marco-chiudinelli,185,85,4.529411764705882,1.8235294117647058,1
e831,kyle-edmund,188,83,3.8571428571428577,1.8055555555555556,0
m048,patrick-mcenroe,183,73,2.7037037037037033,1.4999999999999998,0
z184,horacio-zeballos,188,84,5.2666666666666675,1.96875,1
k403,igor-kunitsyn,180,75,3.1363636363636362,1.5945945945945945,0
p624,philipp-petzschner,185,77,4.105263157894737,1.75,0
re44,andrey-rublev,188,70,3.2500000000000004,1.6153846153846154,0
b518,galo-blanco,170,72,3.2727272727272725,1.6216216216216215,0
a034,jordi-arrese,175,64,2.125,1.380952380952381,0
a202,wayne-arthurs,185,91,8.799999999999999,2.3,1
k181,nicklas-kulti,191,88,3.4545454545454546,1.6756756756756757,0
p372,mariano-puerta,180,78,3.5,1.7027027027027026,0
k771,marsel-ilhan,191,80,4.6875,1.8484848484848484,1
l311,hyung-taik-lee,180,82,3.619047619047619,1.6756756756756757,0
d616,somdev-devvarman,180,73,3.1739130434782608,1.6216216216216215,0
c260,andrei-cherkasov,180,75,2.7307692307692304,1.4749999999999999,0
f041,javier-frana,185,77,3.681818181818182,1.7105263157894737,0
r383,ruben-ramirez-hidalgo,183,74,2.9999999999999996,1.5675675675675675,0
j397,jerzy-janowicz,203,94,4.823529411764706,1.9117647058823528,1
c723,flavio-cipolla,173,74,2.346153846153846,1.4102564102564104,0
h390,luis-horna,180,82,4.157894736842105,1.75,0
j267,malek-jaziri,185,81,4.166666666666667,1.7142857142857144,0
d750,kenny-de-schepper,203,100,8.1,2.064516129032258,1
d864,evgeny-donskoy,185,75,5.133333333333334,1.8235294117647058,1
m012,amos-mansdorf,175,73,3.12,1.5897435897435896,0
y017,jaime-yzaga,170,68,2.571428571428571,1.4999999999999998,0
d776,thiemo-de-bakker,193,83,4.9375,1.852941176470588,1
s315,gilbert-schaller,180,70,2.1935483870967745,1.380952380952381,0
kb05,filip-krajinovic,185,75,3.125,1.631578947368421,0
e106,jacco-eltingh,188,98,5.0,1.8823529411764706,1
g354,justin-gimelstob,196,88,4.0,1.6944444444444444,0
m030,wally-masur,180,76,3.8571428571428577,1.7297297297297298,0
w212,chris-woodruff,188,82,3.2500000000000004,1.631578947368421,0
d015,olivier-delaitre,168,88,3.1739130434782608,1.6216216216216215,0
mh30,john-millman,183,79,3.3478260869565215,1.7027027027027026,0
sf36,igor-sijsling,191,85,4.333333333333334,1.8,1
g247,hernan-gumy,188,91,2.7037037037037033,1.4999999999999998,0
fb98,taylor-fritz,193,86,4.500000000000001,1.8571428571428574,1
f586,thomas-fabbiano,173,70,3.380952380952381,1.6216216216216215,0
t166,mikael-tillstrom,185,73,3.0833333333333335,1.6052631578947367,0
d270,scott-draper,175,76,4.333333333333334,1.8,1
da81,taro-daniel,191,80,3.380952380952381,1.6388888888888888,0
r612,stephane-robert,185,77,3.1363636363636362,1.5675675675675675,0
o098,marcos-ondruska,183,80,2.592592592592592,1.4499999999999997,0
f724,marton-fucsovics,188,82,2.923076923076923,1.564102564102564,0
p235,stefano-pescosolido,185,86,3.1304347826086953,1.6216216216216215,0
d424,rik-de-voest,180,68,4.111111111111112,1.7142857142857144,0
sg87,ryan-sweeting,196,83,3.227272727272727,1.6388888888888888,0
n732,yoshihito-nishioka,170,64,2.88,1.5789473684210527,0
pb22,peter-polansky,183,80,4.235294117647058,1.764705882352941,1
i230,tatsuma-ito,180,75,4.235294117647058,1.7142857142857144,1
v309,kristof-vliegen,193,75,3.75,1.7222222222222223,0
s080,carl-uwe-steeb,180,75,3.0833333333333335,1.5789473684210527,0
sc47,go-soeda,178,73,4.117647058823529,1.6857142857142857,0
s443,sandon-stolle,193,79,3.5,1.6756756756756757,0
ch27,hyeon-chung,188,89,2.9615384615384617,1.6153846153846154,0
d249,hendrik-dreekmann,188,82,3.409090909090909,1.6486486486486487,0
k834,blaz-kavcic,188,78,2.956521739130435,1.526315789473684,0
m338,shuzo-matsuoka,185,80,4.315789473684211,1.8571428571428574,1
sc73,rogerio-dutra-silva,178,73,3.6842105263157894,1.6666666666666667,0
o009,andrei-olhovskiy,185,73,4.105263157894737,1.75,0
r219,christian-ruud,185,85,2.4285714285714284,1.4499999999999997,0
e687,daniel-evans,175,75,3.2083333333333335,1.6578947368421053,0
cf01,marco-cecchinato,185,78,4.411764705882352,1.8235294117647058,1
b040,christian-bergstrom,180,68,2.5172413793103448,1.4999999999999998,0
h191,henrik-holm,183,77,3.5,1.631578947368421,0
d272,antony-dupuis,185,87,4.9375,1.8823529411764706,1
s693,raemon-sluiter,185,80,4.388888888888889,1.8285714285714287,1
o234,wayne-odesnik,180,77,3.318181818181818,1.6216216216216215,0
bf23,facundo-bagnis,183,82,4.235294117647058,1.7142857142857144,1
b484,lars-burgsmuller,183,73,3.2727272727272725,1.5789473684210527,0
b429,jordi-burillo,188,85,2.88,1.5789473684210527,0
l799,jesse-levine,175,68,3.65,1.6666666666666667,0
c009,omar-camporese,188,78,3.4545454545454546,1.6756756756756757,0
d316,ramon-delgado,183,80,3.6999999999999997,1.6666666666666667,0
g717,fred-gil,173,78,3.2727272727272725,1.5526315789473684,0
s406,grant-stafford,15,95,2.4999999999999996,1.4749999999999999,0
o099,alex-o'brien,185,88,3.8,1.7222222222222223,0
v250,andreas-vinciguerra,180,73,3.3043478260869565,1.6052631578947367,0
i052,andrew-ilie,180,78,3.5238095238095237,1.6216216216216215,0
s380,bryan-shelton,185,80,5.0625,1.8285714285714287,1
me31,vincent-millot,173,75,2.9999999999999996,1.5945945945945945,0
d228,filip-dewulf,191,80,3.260869565217391,1.6486486486486487,0
r043,derrick-rostagno,185,75,3.2083333333333335,1.631578947368421,0
m708,ricardo-mello,175,73,3.55,1.6216216216216215,0
