1970-3940,18,,Barranquilla,3940,barranquilla,"Barranquilla, Colombia",1970.03.16,1970,Outdoor,Clay
1970-9277,19,,Curacao,9277,curacao,"Curacao, Curacao",1970.03.23,1970,Outdoor,Hard
1970-426,20,,Johannesburg,426,johannesburg,"Johannesburg, South Africa",1970.03.24,1970,Outdoor,Hard
1970-462,21,,Johannesburg,462,johannesburg,"Johannesburg, South Africa",1970.03.24,1970,Outdoor,Hard
1970-2047,22,,Jacksonville,2047,jacksonville,"Jacksonville, United States",1970.03.25,1970,Outdoor,Clay
1970-6817,23,,San Juan,6817,san-juan,"San Juan, Puerto Rico",1970.03.29,1970,Outdoor,Hard
1970-260,24,,Durban,260,durban,"Durban, South Africa",1970.04.06,1970,Outdoor,Hard
1970-6818,25,,St. Petersburg,6818,st-petersburg,"St. Petersburg, United States",1970.04.06,1970,Outdoor,Clay
1970-9204,26,,Kingston,9204,kingston,"Kingston, Jamaica",1970.04.06,1970,Outdoor,Hard
1970-410,27,,Monte Carlo,410,monte-carlo,Monte Carlo,1970.04.13,1970,Outdoor,Clay
1970-436,28,,Charlotte,436,charlotte,"Charlotte, United States",1970.04.15,1970,Outdoor,Clay
1970-416,29,,Rome,416,rome,Rome,1970.04.20,1970,Outdoor,Clay
1970-388,30,,Dallas WCT,388,dallas,"Dallas, United States",1970.04.21,1970,Indoor,Carpet
1970-405,31,,Houston,405,houston,"Houston, United States",1970.04.21,1970,Outdoor,Clay
1970-347,32,,Bournemouth,347,bournemouth,"Bournemouth, Great Britain",1970.04.26,1970,Outdoor,Clay
1970-9279,33,,Atlanta,9279,atlanta,"Atlanta, United States",1970.04.30,1970,Outdoor,Clay
1970-9238,34,,Kansas City,9238,kansas-city,"Kansas City, United States",1970.05.01,1970,Outdoor,Hard
1970-412,35,,Atlanta WCT,412,atlanta,"Atlanta, United States",1970.05.06,1970,Outdoor,Hard
1970-654,36,,Sacramento,654,sacramento,"Sacramento, United States",1970.05.07,1970,Outdoor,Hard
1970-9240,37,,Berlin,9240,berlin,"Berlin, Germany",1970.05.11,1970,Outdoor,Clay
1970-406,38,,Brussels,406,brussels,"Brussels, Belgium",1970.05.12,1970,Outdoor,Clay
1970-413,39,,Las Vegas WCT,413,las-vegas,"Las Vegas, United States",1970.05.13,1970,Outdoor,Hard
1970-520,40,Grand Slam,Roland Garros,520,roland-garros,Paris,1970.05.25,1970,Outdoor,Clay
1970-652,41,,St. Louis WCT,652,st-louis,St. Louis,1970.05.27,1970,Outdoor,Hard
1970-8025,42,,Manchester,8025,manchester,"Manchester, Great Britain",1970.06.01,1970,Outdoor,Grass
1970-2063,43,,Casablanca WCT,2063,casablanca,Casablanca,1970.06.04,1970,Outdoor,Clay
1970-313,44,,Bristol,313,bristol,"Bristol, Great Britain",1970.06.08,1970,Outdoor,Grass
1970-6829,45,,Nottingham,6829,nottingham,"Nottingham, Great Britain",1970.06.08,1970,Outdoor,Grass
1970-311,46,,London / Queen's Club,311,london,London,1970.06.15,1970,Outdoor,Grass
1970-2049,47,,Eastbourne,2049,eastbourne,"Eastbourne, Great Britain",1970.06.15,1970,Outdoor,Grass
