slug,player_id,first_serve_perc,first_serve_points_won_perc,second_serve_points_won_perc,first_serve_return_points_won_perc,second_serve_return_points_won_perc,break_points_saved_perc,break_points_converted_perc,service_games_won_perc,service_points_won_perc,return_games_won_perc,return_points_won_perc
c361,alex-calatrava,59,71,49,28,48,60,40,76,62,21,36
mj08,thiago-monteiro,64,70,51,25,47,60,39,78,63,18,34
l515,peter-luczak,62,68,50,25,47,61,36,75,61,16,33
sk94,cedrik-marcel-stebe,61,65,48,31,50,56,38,68,58,23,38
a006,ronald-agenor,64,65,48,30,51,57,40,70,59,24,38
g108,rodolphe-gilbert,52,70,49,28,49,59,37,73,60,21,37
n771,cameron-norrie,65,69,49,28,49,62,40,78,62,21,36
v251,santiago-ventura,54,68,47,31,48,56,44,68,58,24,38
n109,diego-nargiso,54,73,46,30,48,60,40,75,60,21,37
sj55,john-patrick-smith,64,68,50,26,44,56,40,76,62,15,33
e224,victor-estrella-burgos,65,67,50,24,47,59,40,74,61,17,33
b305,karsten-braasch,55,74,46,29,48,62,36,77,62,20,37
l336,harel-levy,58,69,47,28,49,59,40,72,60,21,36
c270,cristiano-caratti,64,64,48,29,51,55,39,69,58,23,38
t195,michael-tebbutt,53,78,46,28,49,61,38,79,63,20,36
p050,goran-prpic,71,64,48,34,53,55,44,71,59,31,42
kc04,jozef-kovalik,60,68,50,27,47,60,37,75,61,18,35
g512,denis-gremelmayr,57,66,49,28,46,59,38,70,59,19,35
rh16,casper-ruud,66,71,52,27,49,63,42,81,64,22,35
d357,arnaud-di-pasquale,63,65,48,32,50,55,43,70,59,27,39
b599,julien-boutter,55,74,49,28,46,62,39,78,63,19,35
k596,alexander-kudryavtsev,52,73,51,26,45,54,37,78,63,14,33
k776,konstantin-kravchuk,62,72,47,24,43,61,35,75,62,14,32
w373,jimmy-wang,62,65,50,29,50,60,40,71,59,23,37
p467,alexander-peya,61,69,47,29,46,59,35,73,60,18,36
v564,antonio-veic,62,65,46,33,49,50,48,66,57,27,39
d994,james-duckworth,56,73,50,24,45,64,36,79,63,14,32
se66,eduardo-schwank,63,67,51,27,49,58,37,75,61,18,36
v201,john-van-lottum,54,70,49,28,50,59,42,72,60,21,37
m047,john-mcenroe,57,75,50,32,51,62,42,81,64,27,39
m372,alberto-mancini,63,67,51,30,51,60,42,74,61,23,38
h571,jan-hajek,63,64,47,27,50,56,36,67,58,19,36
s604,andre-sa,59,65,48,30,51,55,40,67,58,24,39
sf76,franko-skugor,59,68,45,30,46,58,37,71,59,21,37
m408,jamie-morgan,57,75,49,27,48,59,33,80,64,18,35
y218,elias-ymer,59,68,47,26,46,58,33,71,59,15,34
o076,jaime-oncins,56,68,44,34,53,56,41,68,58,29,42
l014,henri-leconte,50,74,50,31,50,61,40,77,62,23,38
z045,markus-zoecke,64,72,50,24,46,62,35,80,64,15,33
db63,laslo-djere,60,70,50,29,48,60,35,76,62,19,36
j551,nicolas-jarry,63,72,52,25,46,64,38,82,65,16,33
g983,alessandro-giannessi,66,65,47,30,50,63,37,71,59,22,38
ba57,ilija-bozoljac,55,78,49,24,46,64,37,81,65,13,32
m759,wesley-moodie,69,74,51,24,44,63,33,84,67,12,31
d438,amer-delic,60,72,50,25,44,65,34,80,63,14,32
d006,franco-davin,70,61,46,35,53,54,46,65,56,33,42
mi43,gerald-melzer,64,67,49,26,51,59,38,73,61,21,36
f031,jean-philippe-fleurian,60,67,49,30,49,60,42,73,60,23,37
gb93,norbert-gombos,62,71,43,27,47,62,30,75,61,16,35
k030,patrik-kuhnen,55,74,46,27,50,59,40,76,61,20,36
ca33,inigo-cervantes,51,71,48,27,48,54,41,72,60,20,35
o376,renzo-olivo,59,67,47,31,49,58,38,69,59,22,38
o522,reilly-opelka,63,80,55,21,41,69,28,91,71,10,28
c028,thierry-champion,72,61,50,32,51,53,42,68,58,26,39
l386,jean-rene-lisnard,52,66,47,32,51,56,40,65,57,25,39
p233,jared-palmer,61,70,49,28,50,62,41,77,62,21,37
h364,markus-hipfl,64,65,49,31,51,54,42,69,59,27,39
m614,cecil-mamiit,58,66,48,30,49,56,38,69,59,23,38
bk92,alexander-bublik,58,75,44,28,46,58,38,77,62,18,35
ka98,bradley-klahn,61,71,50,25,43,59,35,76,62,12,31
v232,martin-verkerk,59,76,50,27,47,63,39,83,65,16,35
ra17,guillaume-rufin,54,70,49,27,49,61,39,74,61,20,36
gd64,cristian-garin,61,70,50,29,50,61,40,76,62,23,37
bc11,sergei-bubka,60,74,46,24,48,48,38,75,63,15,34
p642,boris-pashanski,59,66,47,27,47,57,39,70,58,19,35
b021,jeremy-bates,56,70,46,27,50,57,39,73,60,21,36
r203,david-rikl,57,66,47,29,49,59,41,69,58,23,37
c856,victor-crivoi,64,64,48,28,47,56,31,68,58,18,36
g892,alejandro-gonzalez,60,66,48,27,49,55,38,68,58,19,36
ag37,felix-auger-aliassime,65,74,49,29,48,65,38,81,65,19,36
b499,wayne-black,58,64,51,28,53,57,42,70,59,24,39
w023,mats-wilander,65,66,46,30,52,57,43,71,59,25,39
mn13,maximilian-marterer,63,70,53,25,44,60,35,79,64,14,32
b293,patrick-baur,56,70,50,29,48,61,36,75,61,20,37
a622,andrea-arnaboldi,57,66,50,27,46,61,31,71,59,17,34
o264,josselin-ouanna,58,74,49,22,46,56,31,77,63,10,31
p488,olivier-patience,63,66,49,27,48,58,37,72,59,20,36
lb84,juan-ignacio-londero,60,70,56,28,50,63,38,80,65,21,36
p491,kristian-pless,61,70,51,26,47,60,39,77,62,18,35
